GRID_CODE;LEVEL1;LEVEL2;LEVEL3;CLC_CODE;LABEL1;LABEL2;LABEL3;RGB
1;1;1;1;111;Artificial surfaces;Urban fabric;Continuous urban fabric;230-000-077
2;1;1;2;112;Artificial surfaces;Urban fabric;Discontinuous urban fabric;255-000-000
3;1;2;1;121;Artificial surfaces;Industrial, commercial and transport units;Industrial or commercial units;204-077-242
4;1;2;2;122;Artificial surfaces;Industrial, commercial and transport units;Road and rail networks and associated land;204-000-000
5;1;2;3;123;Artificial surfaces;Industrial, commercial and transport units;Port areas;230-204-204
6;1;2;4;124;Artificial surfaces;Industrial, commercial and transport units;Airports;230-204-230
7;1;3;1;131;Artificial surfaces;Mine, dump and construction sites;Mineral extraction sites;166-000-204
8;1;3;2;132;Artificial surfaces;Mine, dump and construction sites;Dump sites;166-077-000
9;1;3;3;133;Artificial surfaces;Mine, dump and construction sites;Construction sites;255-077-255
10;1;4;1;141;Artificial surfaces;Artificial, non-agricultural vegetated areas;Green urban areas;255-166-255
11;1;4;2;142;Artificial surfaces;Artificial, non-agricultural vegetated areas;Sport and leisure facilities;255-230-255
12;2;1;1;211;Agricultural areas;Arable land;Non-irrigated arable land;255-255-168
13;2;1;2;212;Agricultural areas;Arable land;Permanently irrigated land;255-255-000
14;2;1;3;213;Agricultural areas;Arable land;Rice fields;230-230-000
15;2;2;1;221;Agricultural areas;Permanent crops;Vineyards;230-128-000
16;2;2;2;222;Agricultural areas;Permanent crops;Fruit trees and berry plantations;242-166-077
17;2;2;3;223;Agricultural areas;Permanent crops;Olive groves;230-166-000
18;2;3;1;231;Agricultural areas;Pastures;Pastures;230-230-077
19;2;4;1;241;Agricultural areas;Heterogeneous agricultural areas;Annual crops associated with permanent crops;255-230-166
20;2;4;2;242;Agricultural areas;Heterogeneous agricultural areas;Complex cultivation patterns;255-230-077
21;2;4;3;243;Agricultural areas;Heterogeneous agricultural areas;Land principally occupied by agriculture, with significant areas of natural vegetation;230-204-077
22;2;4;4;244;Agricultural areas;Heterogeneous agricultural areas;Agro-forestry areas;242-204-166
23;3;1;1;311;Forest and semi natural areas;Forests;Broad-leaved forest;128-255-000
24;3;1;2;312;Forest and semi natural areas;Forests;Coniferous forest;000-166-000
25;3;1;3;313;Forest and semi natural areas;Forests;Mixed forest;077-255-000
26;3;2;1;321;Forest and semi natural areas;Scrub and/or herbaceous vegetation associations;Natural grasslands;204-242-077
27;3;2;2;322;Forest and semi natural areas;Scrub and/or herbaceous vegetation associations;Moors and heathland;166-255-128
28;3;2;3;323;Forest and semi natural areas;Scrub and/or herbaceous vegetation associations;Sclerophyllous vegetation;166-230-077
29;3;2;4;324;Forest and semi natural areas;Scrub and/or herbaceous vegetation associations;Transitional woodland-shrub;166-242-000
30;3;3;1;331;Forest and semi natural areas;Open spaces with little or no vegetation;Beaches, dunes, sands;230-230-230
31;3;3;2;332;Forest and semi natural areas;Open spaces with little or no vegetation;Bare rocks;204-204-204
32;3;3;3;333;Forest and semi natural areas;Open spaces with little or no vegetation;Sparsely vegetated areas;204-255-204
33;3;3;4;334;Forest and semi natural areas;Open spaces with little or no vegetation;Burnt areas;000-000-000
34;3;3;5;335;Forest and semi natural areas;Open spaces with little or no vegetation;Glaciers and perpetual snow;166-230-204
35;4;1;1;411;Wetlands;Inland wetlands;Inland marshes;166-166-255
36;4;1;2;412;Wetlands;Inland wetlands;Peat bogs;077-077-255
37;4;2;1;421;Wetlands;Maritime wetlands;Salt marshes;204-204-255
38;4;2;2;422;Wetlands;Maritime wetlands;Salines;230-230-255
39;4;2;3;423;Wetlands;Maritime wetlands;Intertidal flats;166-166-230
40;5;1;1;511;Water bodies;Inland waters;Water courses;000-204-242
41;5;1;2;512;Water bodies;Inland waters;Water bodies;128-242-230
42;5;2;1;521;Water bodies;Marine waters;Coastal lagoons;000-255-166
43;5;2;2;522;Water bodies;Marine waters;Estuaries;166-255-230
44;5;2;3;523;Water bodies;Marine waters;Sea and ocean;230-242-255
48;9;9;9;999;NODATA;NODATA;NODATA;
49;9;9;0;990;UNCLASSIFIED;UNCLASSIFIED LAND SURFACE;UNCLASSIFIED LAND SURFACE;
50;9;9;5;995;UNCLASSIFIED;UNCLASSIFIED WATER BODIES;UNCLASSIFIED WATER BODIES;230-242-255
